Date,Open,High,Low,Close,Adj Close,Volume
2019-12-24,0.044807,0.046288,0.044400,0.045083,0.045083,190571245
2019-12-25,0.045029,0.045591,0.043191,0.043441,0.043441,160886227
2019-12-26,0.043572,0.045710,0.043512,0.045101,0.045101,159865552
2019-12-27,0.045092,0.046747,0.044685,0.046086,0.046086,186418572
2019-12-28,0.046015,0.046536,0.044167,0.045151,0.045151,158028356
2019-12-29,0.045138,0.047112,0.044077,0.046216,0.046216,148653161
2019-12-30,0.046203,0.046902,0.044252,0.045954,0.045954,167585185
2019-12-31,0.046053,0.046115,0.043332,0.045224,0.045224,157108041
2020-01-01,0.045118,0.045768,0.043438,0.045451,0.045451,168402204
2020-01-02,0.045398,0.045604,0.043582,0.044112,0.044112,151848963
2020-01-03,0.044001,0.045907,0.043544,0.045234,0.045234,168931018
2020-01-04,0.045227,0.046276,0.044332,0.046272,0.046272,152253766
2020-01-05,0.046165,0.046692,0.044772,0.045359,0.045359,165956087
2020-01-06,0.045432,0.049292,0.045244,0.049124,0.049124,248276598
2020-01-07,0.049025,0.050261,0.047908,0.049838,0.049838,239407286
2020-01-08,0.049916,0.050093,0.046706,0.048717,0.048717,213522156
2020-01-09,0.047616,0.049246,0.045678,0.046458,0.046458,171728899
2020-01-10,0.046268,0.048292,0.045766,0.046402,0.046402,211752195
2020-01-11,0.046378,0.049198,0.046117,0.047547,0.047547,216830961
2020-01-12,0.047580,0.048951,0.046762,0.048319,0.048319,207151685
2020-01-13,0.048229,0.048458,0.046383,0.048122,0.048122,224390629
2020-01-14,0.048085,0.053480,0.048066,0.052115,0.052115,325107091
2020-01-15,0.052040,0.055470,0.051042,0.054789,0.054789,334258693
2020-01-16,0.054817,0.054993,0.051784,0.053748,0.053748,316566307
2020-01-17,0.053828,0.062763,0.052715,0.060052,0.060052,519487809
2020-01-18,0.059970,0.064649,0.057045,0.061155,0.061155,619953488
2020-01-19,0.061144,0.065619,0.058865,0.060044,0.060044,557236013
2020-01-20,0.059991,0.064640,0.059431,0.062044,0.062044,570944249
2020-01-21,0.062025,0.063943,0.061601,0.062420,0.062420,404072680
2020-01-22,0.062395,0.063779,0.059796,0.059889,0.059889,334827929
2020-01-23,0.059995,0.061171,0.056832,0.059238,0.059238,383108495
2020-01-24,0.059401,0.059455,0.054127,0.057303,0.057303,382153105
2020-01-25,0.057257,0.057879,0.055841,0.056039,0.056039,319119540
2020-01-26,0.056111,0.059546,0.055742,0.058572,0.058572,325709373
2020-01-27,0.058660,0.061461,0.057598,0.059645,0.059645,354309858
2020-01-28,0.059606,0.061764,0.059159,0.060303,0.060303,435796280
2020-01-29,0.060327,0.062595,0.059045,0.061739,0.061739,408058902
2020-01-30,0.061682,0.062990,0.060058,0.061207,0.061207,382600193
2020-01-31,0.061269,0.063646,0.059865,0.061554,0.061554,365221348
2020-02-01,0.061546,0.062644,0.059360,0.060470,0.060470,351749271
2020-02-02,0.060542,0.065759,0.060093,0.063367,0.063367,459980666
2020-02-03,0.063385,0.065443,0.063098,0.064061,0.064061,386201629
2020-02-04,0.064050,0.066703,0.062135,0.066291,0.066291,435813336
2020-02-05,0.066319,0.069117,0.065880,0.068733,0.068733,520288061
2020-02-06,0.068763,0.071169,0.067605,0.070540,0.070540,516539220
2020-02-07,0.070526,0.072852,0.070224,0.071625,0.071625,519263943
2020-02-08,0.071613,0.072281,0.068437,0.070853,0.070853,479921994
2020-02-09,0.070817,0.074395,0.070070,0.072821,0.072821,477162368
2020-02-10,0.072989,0.073581,0.069325,0.070855,0.070855,514592414
2020-02-11,0.070890,0.074242,0.069337,0.073741,0.073741,518483533
2020-02-12,0.073732,0.081834,0.073732,0.080040,0.080040,733460111
2020-02-13,0.080040,0.086677,0.079145,0.082655,0.082655,849232918
2020-02-14,0.082617,0.086557,0.080313,0.085796,0.085796,640075025
2020-02-15,0.085813,0.087270,0.077926,0.079246,0.079246,577812168
2020-02-16,0.079401,0.081311,0.069217,0.075079,0.075079,632562189
2020-02-17,0.074904,0.075029,0.067949,0.071851,0.071851,619668937
2020-02-18,0.071921,0.077512,0.070713,0.074642,0.074642,521725957
2020-02-19,0.075470,0.078610,0.070007,0.070720,0.070720,438696625
2020-02-20,0.070676,0.071933,0.069082,0.071169,0.071169,496888762
2020-02-21,0.071128,0.073359,0.070784,0.071953,0.071953,467029257
2020-02-22,0.071964,0.072424,0.068987,0.069390,0.069390,398582854
2020-02-23,0.069469,0.073736,0.069058,0.073645,0.073645,432366514
2020-02-24,0.073507,0.073572,0.068739,0.069380,0.069380,465871328
2020-02-25,0.069409,0.070053,0.064964,0.065325,0.065325,461517993
2020-02-26,0.065340,0.065463,0.057433,0.059303,0.059303,505300519
2020-02-27,0.059303,0.062443,0.056771,0.060011,0.060011,452957399
2020-02-28,0.060023,0.061355,0.057019,0.058305,0.058305,419431446
2020-02-29,0.058279,0.059814,0.057391,0.057456,0.057456,318679471
2020-03-01,0.057363,0.058517,0.055482,0.056252,0.056252,360604910
2020-03-02,0.056222,0.059780,0.055923,0.059206,0.059206,397777572
2020-03-03,0.059223,0.060138,0.057871,0.058352,0.058352,407088469
2020-03-04,0.058358,0.059137,0.057902,0.058593,0.058593,381787289
2020-03-05,0.058576,0.060893,0.058576,0.059758,0.059758,421868545
2020-03-06,0.059765,0.061181,0.059456,0.061181,0.061181,428300799
2020-03-07,0.061165,0.061383,0.058401,0.058409,0.058409,411529339
2020-03-08,0.058432,0.058432,0.050744,0.050744,0.050744,488233342
2020-03-09,0.050651,0.052033,0.047901,0.051920,0.051920,549172784
2020-03-10,0.052198,0.053087,0.050898,0.051989,0.051989,416858440
2020-03-11,0.052006,0.052486,0.048203,0.050387,0.050387,408137347
2020-03-12,0.050379,0.050475,0.033441,0.033441,0.033441,526211822
2020-03-13,0.033476,0.041109,0.028492,0.039531,0.039531,747877049
2020-03-14,0.039555,0.040455,0.036958,0.037297,0.037297,375613371
2020-03-15,0.037246,0.040400,0.037012,0.038282,0.038282,362487211
2020-03-16,0.038320,0.038324,0.032718,0.035161,0.035161,422559303
2020-03-17,0.035217,0.037501,0.035217,0.036820,0.036820,330129256
2020-03-18,0.036742,0.037372,0.034913,0.035979,0.035979,337020832
2020-03-19,0.035940,0.042341,0.035927,0.041494,0.041494,457344869
2020-03-20,0.041474,0.044108,0.037032,0.039919,0.039919,403266374
2020-03-21,0.039958,0.040569,0.038521,0.039616,0.039616,356478474
2020-03-22,0.039623,0.040484,0.037061,0.037198,0.037198,329105985
2020-03-23,0.037191,0.039304,0.036365,0.039260,0.039260,359628965
2020-03-24,0.039240,0.040481,0.039006,0.040305,0.040305,366272224
2020-03-25,0.040312,0.040794,0.039378,0.040579,0.040579,312768244
2020-03-26,0.040581,0.042638,0.040267,0.042538,0.042538,305069105
2020-03-27,0.042563,0.042864,0.041172,0.041172,0.041172,308504165
2020-03-28,0.041144,0.041144,0.038976,0.039956,0.039956,340909985
2020-03-29,0.039954,0.040046,0.038085,0.038129,0.038129,266559124
2020-03-30,0.038101,0.040755,0.037972,0.040209,0.040209,315377995
2020-03-31,0.040196,0.040877,0.040144,0.040846,0.040846,327644886
2020-04-01,0.040855,0.040855,0.039280,0.040816,0.040816,302527865
2020-04-02,0.040777,0.042867,0.040527,0.041303,0.041303,409126334
2020-04-03,0.041327,0.042540,0.040882,0.041571,0.041571,381441115
2020-04-04,0.041417,0.041958,0.040993,0.041943,0.041943,331158440
2020-04-05,0.041944,0.043499,0.041590,0.043488,0.043488,330675377
2020-04-06,0.043499,0.049642,0.043480,0.049474,0.049474,528856126
2020-04-07,0.049505,0.051273,0.047680,0.048317,0.048317,535973254
2020-04-08,0.048331,0.051091,0.048069,0.050983,0.050983,355554036
2020-04-09,0.051028,0.052141,0.049126,0.052039,0.052039,420784745
2020-04-10,0.052009,0.052240,0.046073,0.047788,0.047788,461485326
2020-04-11,0.047852,0.049815,0.047695,0.049551,0.049551,426515998
2020-04-12,0.049544,0.051032,0.048674,0.049441,0.049441,411810328
2020-04-13,0.049529,0.049529,0.046584,0.048339,0.048339,530770069
2020-04-14,0.048332,0.049169,0.047784,0.048215,0.048215,507234997
2020-04-15,0.048007,0.048774,0.046332,0.046409,0.046409,468836578
2020-04-16,0.046366,0.049455,0.045400,0.049125,0.049125,628082822
2020-04-17,0.049208,0.049498,0.048609,0.049070,0.049070,478450043
2020-04-18,0.049041,0.050785,0.048975,0.050501,0.050501,534672464
2020-04-19,0.050499,0.050836,0.049030,0.049209,0.049209,523219785
2020-04-20,0.049199,0.053372,0.049019,0.049997,0.049997,742154168
2020-04-21,0.049925,0.051861,0.049662,0.051222,0.051222,495416209
2020-04-22,0.051208,0.055015,0.050969,0.054812,0.054812,561155181
2020-04-23,0.054835,0.064866,0.054783,0.061737,0.061737,993914721
2020-04-24,0.061824,0.065499,0.061022,0.061612,0.061612,671248452
2020-04-25,0.061611,0.063735,0.061308,0.062153,0.062153,526584850
2020-04-26,0.062009,0.063112,0.061522,0.062500,0.062500,550894044
2020-04-27,0.062087,0.068485,0.061742,0.067367,0.067367,711801196
2020-04-28,0.067273,0.070738,0.067036,0.069021,0.069021,820842387
2020-04-29,0.069041,0.073140,0.067568,0.072350,0.072350,929790801
2020-04-30,0.072385,0.073988,0.066768,0.067697,0.067697,859662107
2020-05-01,0.067782,0.073505,0.067782,0.073222,0.073222,764134318
2020-05-02,0.073109,0.076145,0.072102,0.075450,0.075450,721153691
2020-05-03,0.075577,0.076544,0.072521,0.073106,0.073106,755013661
2020-05-04,0.073084,0.074088,0.068667,0.073738,0.073738,701073658
2020-05-05,0.073744,0.074315,0.071737,0.072445,0.072445,572848081
2020-05-06,0.072387,0.073199,0.071195,0.071195,0.071195,634319026
2020-05-07,0.071196,0.073566,0.070758,0.072321,0.072321,676902337
2020-05-08,0.072364,0.074185,0.071013,0.073143,0.073143,615940985
2020-05-09,0.072925,0.073516,0.071599,0.071971,0.071971,615949072
2020-05-10,0.071967,0.071967,0.061108,0.064317,0.064317,820471098
2020-05-11,0.064307,0.065066,0.061184,0.062793,0.062793,676862243
2020-05-12,0.062795,0.070168,0.062352,0.069905,0.069905,717258193
2020-05-13,0.069929,0.070582,0.068298,0.069796,0.069796,668016410
2020-05-14,0.069645,0.070700,0.067377,0.069082,0.069082,667445362
2020-05-15,0.069084,0.069708,0.067102,0.067406,0.067406,589459285
2020-05-16,0.067403,0.068290,0.066845,0.068110,0.068110,433441328
2020-05-17,0.067966,0.071491,0.067938,0.069100,0.069100,530947005
2020-05-18,0.069062,0.071148,0.068724,0.070095,0.070095,594262835
2020-05-19,0.070058,0.070157,0.068618,0.069389,0.069389,427647345
2020-05-20,0.069407,0.071913,0.068613,0.070992,0.070992,530728877
2020-05-21,0.070996,0.071391,0.064559,0.066699,0.066699,504379554
2020-05-22,0.066728,0.069118,0.065799,0.068167,0.068167,473521124
2020-05-23,0.068160,0.069116,0.066711,0.067608,0.067608,400282442
2020-05-24,0.067549,0.068399,0.064795,0.064860,0.064860,390536763
2020-05-25,0.064646,0.066123,0.064210,0.066098,0.066098,450549233
2020-05-26,0.066216,0.066457,0.064151,0.065144,0.065144,371589056
2020-05-27,0.065119,0.067673,0.065026,0.066252,0.066252,437929645
2020-05-28,0.066296,0.069840,0.065979,0.068865,0.068865,453361150
2020-05-29,0.068824,0.069792,0.067134,0.067876,0.067876,440276090
2020-05-30,0.067842,0.072593,0.067041,0.072436,0.072436,510303238
2020-05-31,0.072399,0.076035,0.069487,0.070627,0.070627,636177470
2020-06-01,0.070631,0.076174,0.070166,0.075518,0.075518,620504741
2020-06-02,0.075410,0.083960,0.075340,0.079284,0.079284,798043368
2020-06-03,0.079349,0.083102,0.076996,0.082632,0.082632,625675420
2020-06-04,0.082708,0.086169,0.079758,0.082476,0.082476,728954392
2020-06-05,0.082406,0.083117,0.079276,0.079518,0.079518,643282514
2020-06-06,0.079494,0.081284,0.078731,0.079883,0.079883,499450887
2020-06-07,0.079863,0.080910,0.076096,0.079000,0.079000,497548454
2020-06-08,0.078975,0.080545,0.078276,0.080010,0.080010,394984022
2020-06-09,0.079980,0.080371,0.077688,0.078576,0.078576,431553013
2020-06-10,0.078538,0.079153,0.077709,0.078657,0.078657,462922723
2020-06-11,0.078714,0.079402,0.069982,0.071485,0.071485,590529752
2020-06-12,0.071429,0.074844,0.070916,0.073029,0.073029,463002957
2020-06-13,0.072993,0.074463,0.071993,0.074296,0.074296,388991889
2020-06-14,0.074385,0.074385,0.071092,0.071414,0.071414,389719568
2020-06-15,0.071414,0.071830,0.066148,0.071110,0.071110,475868940
2020-06-16,0.071024,0.072076,0.070118,0.071247,0.071247,422477438
2020-06-17,0.071361,0.073836,0.070160,0.071893,0.071893,460635041
2020-06-18,0.071901,0.072256,0.069863,0.070937,0.070937,396472624
2020-06-19,0.070940,0.071045,0.068845,0.069271,0.069271,409199952
2020-06-20,0.069271,0.070369,0.068706,0.069921,0.069921,373213605
2020-06-21,0.069830,0.070461,0.068699,0.068757,0.068757,329921806
2020-06-22,0.068755,0.071921,0.068733,0.071872,0.071872,414440267
2020-06-23,0.071890,0.072269,0.070070,0.071219,0.071219,377047281
2020-06-24,0.071293,0.072757,0.068581,0.069173,0.069173,372491015
2020-06-25,0.069317,0.070560,0.066312,0.067831,0.067831,331356547
2020-06-26,0.067853,0.068748,0.066502,0.067097,0.067097,314879213
2020-06-27,0.067087,0.067471,0.061251,0.063189,0.063189,283951205
2020-06-28,0.063189,0.065204,0.062204,0.064378,0.064378,220022782
2020-06-29,0.064467,0.065484,0.063159,0.065264,0.065264,291925173
2020-06-30,0.065076,0.067579,0.064234,0.067068,0.067068,289552123
2020-07-01,0.067105,0.069577,0.066242,0.068488,0.068488,316808164
2020-07-02,0.068525,0.070878,0.067248,0.068406,0.068406,290632981
2020-07-03,0.068410,0.068410,0.066771,0.067249,0.067249,204165764
2020-07-04,0.067234,0.068416,0.066543,0.067867,0.067867,218498800
2020-07-05,0.067854,0.068115,0.065755,0.067177,0.067177,202429385
2020-07-06,0.067177,0.071982,0.066644,0.071863,0.071863,279337235
2020-07-07,0.071670,0.073973,0.070344,0.073268,0.073268,257005980
2020-07-08,0.073287,0.085003,0.072658,0.085003,0.085003,471290003
2020-07-09,0.084874,0.097164,0.083337,0.090588,0.090588,845893278
2020-07-10,0.090524,0.090697,0.083007,0.088913,0.088913,529828870
2020-07-11,0.088926,0.100025,0.088755,0.094331,0.094331,604044703
2020-07-12,0.094334,0.097264,0.090747,0.095002,0.095002,382865014
2020-07-13,0.095002,0.097345,0.088453,0.090291,0.090291,389748252
2020-07-14,0.090220,0.092322,0.086238,0.092108,0.092108,305049008
2020-07-15,0.091956,0.095613,0.087782,0.094042,0.094042,391047540
2020-07-16,0.094064,0.102505,0.089316,0.100669,0.100669,505630696
2020-07-17,0.100758,0.106773,0.099677,0.103919,0.103919,505735318
2020-07-18,0.103775,0.104056,0.099309,0.100691,0.100691,266646100
2020-07-19,0.100707,0.101949,0.097390,0.099877,0.099877,215208318
2020-07-20,0.099898,0.101273,0.094055,0.094679,0.094679,238907306
2020-07-21,0.094600,0.097956,0.094080,0.096224,0.096224,222225815
2020-07-22,0.096170,0.097494,0.094478,0.097224,0.097224,188477646
2020-07-23,0.097261,0.100999,0.096909,0.097764,0.097764,259146414
2020-07-24,0.097764,0.097931,0.095256,0.095563,0.095563,221044089
2020-07-25,0.095662,0.100673,0.095330,0.100179,0.100179,237008047
2020-07-26,0.100115,0.105067,0.097449,0.098732,0.098732,328857055
2020-07-27,0.098681,0.099597,0.090114,0.094541,0.094541,347516202
2020-07-28,0.094529,0.097532,0.093606,0.097002,0.097002,298863222
2020-07-29,0.096977,0.099101,0.095060,0.095288,0.095288,241946098
2020-07-30,0.095302,0.097458,0.094837,0.096643,0.096643,180339488
2020-07-31,0.096671,0.097134,0.095435,0.096931,0.096931,176835286
2020-08-01,0.096931,0.107754,0.096880,0.106995,0.106995,400852491
2020-08-02,0.107006,0.114879,0.098981,0.102550,0.102550,499258062
2020-08-03,0.102640,0.108085,0.101730,0.105059,0.105059,307978252
2020-08-04,0.105056,0.111197,0.105056,0.109971,0.109971,322228936
2020-08-05,0.109911,0.111014,0.107409,0.107935,0.107935,236900060
2020-08-06,0.107863,0.108024,0.105615,0.106432,0.106432,217021091
2020-08-07,0.106427,0.107729,0.100053,0.103121,0.103121,425365420
2020-08-08,0.103177,0.104344,0.101834,0.102960,0.102960,179081363
2020-08-09,0.103151,0.106837,0.103098,0.105086,0.105086,219371826
2020-08-10,0.105186,0.106910,0.103885,0.105994,0.105994,235437880
2020-08-11,0.106026,0.108495,0.097953,0.100932,0.100932,531368379
2020-08-12,0.100965,0.103658,0.097064,0.102179,0.102179,223009012
2020-08-13,0.102146,0.103217,0.098174,0.102137,0.102137,231325307
2020-08-14,0.102176,0.108184,0.101302,0.104972,0.104972,269518943
2020-08-15,0.104988,0.108583,0.103698,0.106799,0.106799,258271148
2020-08-16,0.106762,0.115125,0.104407,0.114619,0.114619,286171648
2020-08-17,0.114619,0.118987,0.110739,0.113654,0.113654,419680340
2020-08-18,0.113649,0.116018,0.107948,0.108770,0.108770,256529526
2020-08-19,0.108803,0.109499,0.100100,0.102548,0.102548,252993404
2020-08-20,0.102520,0.107232,0.101224,0.107175,0.107175,199755664
2020-08-21,0.107228,0.109333,0.100383,0.100438,0.100438,267403132
2020-08-22,0.100439,0.102478,0.098509,0.102462,0.102462,206985739
2020-08-23,0.102399,0.103050,0.099210,0.103050,0.103050,162138541
2020-08-24,0.102973,0.105924,0.101460,0.103502,0.103502,170036740
2020-08-25,0.103518,0.103518,0.096650,0.098112,0.098112,226110548
2020-08-26,0.098079,0.100437,0.096691,0.098418,0.098418,235648983
2020-08-27,0.098362,0.098859,0.091609,0.093917,0.093917,251313087
2020-08-28,0.093926,0.096645,0.093185,0.095819,0.095819,185494720
2020-08-29,0.095797,0.097385,0.094889,0.096737,0.096737,176461129
2020-08-30,0.096713,0.098490,0.096603,0.098247,0.098247,194696528
2020-08-31,0.098315,0.098969,0.095455,0.097311,0.097311,200377295
2020-09-01,0.097283,0.100862,0.096516,0.099379,0.099379,261417048
2020-09-02,0.099352,0.099816,0.090364,0.092650,0.092650,270916414
2020-09-03,0.092604,0.093033,0.078770,0.079447,0.079447,278190195
2020-09-04,0.079314,0.083094,0.076200,0.081452,0.081452,299460315
2020-09-05,0.081374,0.083175,0.074044,0.075512,0.075512,227987351
2020-09-06,0.075512,0.079146,0.072577,0.077862,0.077862,198268220
2020-09-07,0.077859,0.079327,0.074667,0.078691,0.078691,163474090
2020-09-08,0.078683,0.079577,0.075751,0.077537,0.077537,149705922
2020-09-09,0.077540,0.079879,0.076021,0.078626,0.078626,118253396
2020-09-10,0.078612,0.083386,0.078583,0.081324,0.081324,161477831
2020-09-11,0.081324,0.084418,0.079397,0.083808,0.083808,142072516
2020-09-12,0.083891,0.085277,0.083005,0.084105,0.084105,130594675
2020-09-13,0.084105,0.084658,0.079566,0.080061,0.080061,140385591
2020-09-14,0.080064,0.082753,0.079432,0.080452,0.080452,150757355
2020-09-15,0.080486,0.081600,0.078107,0.078256,0.078256,168607726
2020-09-16,0.078296,0.081559,0.075960,0.080199,0.080199,183746302
2020-09-17,0.080304,0.082072,0.078420,0.080424,0.080424,154219419
2020-09-18,0.080424,0.080607,0.077935,0.078461,0.078461,110248244
2020-09-19,0.078476,0.081263,0.077788,0.078980,0.078980,102880672
2020-09-20,0.078979,0.079054,0.076007,0.077406,0.077406,101725308
2020-09-21,0.077419,0.077698,0.070173,0.070703,0.070703,124951989
2020-09-22,0.070663,0.072512,0.070016,0.071987,0.071987,108176092
2020-09-23,0.071786,0.072263,0.067282,0.067574,0.067574,120676954
2020-09-24,0.067483,0.070638,0.067022,0.070370,0.070370,148195540
2020-09-25,0.070445,0.075612,0.069379,0.074459,0.074459,175265522
2020-09-26,0.074574,0.076238,0.072802,0.073963,0.073963,124619607
2020-09-27,0.073961,0.074808,0.071808,0.073336,0.073336,119041432
2020-09-28,0.073424,0.075805,0.073303,0.073540,0.073540,137705135
2020-09-29,0.073398,0.075049,0.072439,0.074140,0.074140,120859330
2020-09-30,0.074136,0.074995,0.072371,0.074824,0.074824,119624630
2020-10-01,0.074896,0.076328,0.071945,0.073172,0.073172,158828556
2020-10-02,0.073203,0.073882,0.069783,0.071097,0.071097,158118757
2020-10-03,0.071074,0.072255,0.070815,0.071157,0.071157,100791478
2020-10-04,0.071222,0.073412,0.070754,0.072955,0.072955,106843418
2020-10-05,0.072992,0.074069,0.072565,0.073419,0.073419,126663686
2020-10-06,0.073370,0.074965,0.071969,0.072501,0.072501,161623397
2020-10-07,0.072515,0.073118,0.070992,0.072301,0.072301,133649894
2020-10-08,0.072383,0.073376,0.070658,0.073095,0.073095,131279734
2020-10-09,0.073129,0.075725,0.072621,0.075144,0.075144,156460920
2020-10-10,0.075096,0.078274,0.075077,0.077373,0.077373,145849675
2020-10-11,0.077351,0.078659,0.076983,0.077229,0.077229,120268596
2020-10-12,0.077163,0.079095,0.076176,0.077683,0.077683,133171634
2020-10-13,0.077646,0.077652,0.075698,0.076345,0.076345,125542356
2020-10-14,0.076366,0.076726,0.073966,0.074283,0.074283,120454176
2020-10-15,0.074199,0.074375,0.072213,0.074041,0.074041,115219952
2020-10-16,0.074048,0.078747,0.072507,0.078702,0.078702,160931240
2020-10-17,0.078954,0.083563,0.077893,0.081916,0.081916,268590382
2020-10-18,0.081742,0.082172,0.079374,0.079551,0.079551,165059604
2020-10-19,0.079581,0.087262,0.079509,0.085249,0.085249,306021433
2020-10-20,0.085283,0.086542,0.080747,0.080906,0.080906,216687519
2020-10-21,0.080915,0.086224,0.080806,0.083780,0.083780,234581977
2020-10-22,0.083740,0.087329,0.083740,0.085280,0.085280,195477498
2020-10-23,0.085442,0.086336,0.083136,0.083795,0.083795,153182270
2020-10-24,0.083796,0.085971,0.083478,0.085437,0.085437,143789489
2020-10-25,0.085437,0.085636,0.082587,0.083143,0.083143,139158127
2020-10-26,0.083143,0.084229,0.080218,0.080907,0.080907,181364928
2020-10-27,0.080906,0.083014,0.080906,0.081809,0.081809,173073310
2020-10-28,0.081809,0.082096,0.077678,0.078592,0.078592,166210480
2020-10-29,0.078592,0.078983,0.075770,0.077453,0.077453,143150634
2020-10-30,0.077454,0.078472,0.074960,0.076763,0.076763,118612988
2020-10-31,0.076763,0.079489,0.076601,0.077673,0.077673,137580784
2020-11-01,0.077673,0.078591,0.076655,0.078478,0.078478,115500841
2020-11-02,0.078475,0.079278,0.075581,0.075660,0.075660,129525552
2020-11-03,0.075660,0.076316,0.073550,0.075311,0.075311,126769721
2020-11-04,0.075320,0.075638,0.072922,0.074593,0.074593,118999480
2020-11-05,0.074594,0.082116,0.073703,0.080175,0.080175,180475299
2020-11-06,0.080168,0.085136,0.080165,0.083874,0.083874,197958333
2020-11-07,0.083874,0.085945,0.078584,0.079614,0.079614,207531867
2020-11-08,0.079614,0.082766,0.078883,0.081538,0.081538,137449751
2020-11-09,0.081540,0.082062,0.078255,0.079677,0.079677,151868375
2020-11-10,0.079687,0.082188,0.079318,0.079828,0.079828,151230471
2020-11-11,0.079827,0.082051,0.079692,0.080692,0.080692,142374410
2020-11-12,0.080689,0.080882,0.079326,0.080666,0.080666,135597876
2020-11-13,0.080663,0.082386,0.080020,0.082318,0.082318,141302911
2020-11-14,0.082318,0.084058,0.081032,0.081158,0.081158,171038961
2020-11-15,0.081158,0.082184,0.079229,0.080294,0.080294,130851376
2020-11-16,0.080294,0.082303,0.079588,0.081896,0.081896,144088171
2020-11-17,0.083962,0.087811,0.083461,0.086075,0.086075,234814750
2020-11-18,0.086072,0.086526,0.081960,0.083615,0.083615,200409056
2020-11-19,0.083616,0.085657,0.081631,0.083906,0.083906,159838550
2020-11-20,0.083908,0.088310,0.083775,0.088307,0.088307,177052672
2020-11-21,0.088307,0.108930,0.088307,0.108405,0.108405,646627498
2020-11-22,0.108405,0.113919,0.097502,0.103526,0.103526,689900728
2020-11-23,0.103526,0.131100,0.101743,0.130599,0.130599,881252331
2020-11-24,0.130651,0.196500,0.130651,0.195480,0.195480,3759466315
2020-11-25,0.195058,0.229780,0.183562,0.195202,0.195202,3400050501
2020-11-26,0.194962,0.204134,0.147946,0.167548,0.167548,2426960775
2020-11-27,0.167805,0.206409,0.163880,0.206409,0.206409,2262645472
2020-11-28,0.206660,0.219057,0.196406,0.200203,0.200203,2016734578
2020-11-29,0.200298,0.202338,0.189708,0.194224,0.194224,987586583
2020-11-30,0.194195,0.204532,0.189645,0.202093,0.202093,1061790831
2020-12-01,0.202160,0.203534,0.177947,0.184425,0.184425,917146767
2020-12-02,0.184473,0.187982,0.178353,0.185151,0.185151,588076706
2020-12-03,0.185249,0.189407,0.180338,0.184304,0.184304,489435452
2020-12-04,0.184328,0.188008,0.160720,0.162855,0.162855,575389419
2020-12-05,0.162703,0.175897,0.160525,0.171718,0.171718,428643561
2020-12-06,0.171730,0.179620,0.168093,0.175630,0.175630,410343063
2020-12-07,0.175632,0.175955,0.165773,0.168460,0.168460,317729160
2020-12-08,0.168471,0.168471,0.150182,0.152803,0.152803,432945452
2020-12-09,0.152774,0.173848,0.140441,0.172224,0.172224,935284783
2020-12-10,0.172295,0.176810,0.161102,0.161102,0.161102,770957773
2020-12-11,0.161112,0.164297,0.151180,0.151180,0.151180,608768064
2020-12-12,0.151131,0.164039,0.150714,0.158950,0.158950,509594961
2020-12-13,0.158959,0.179206,0.155900,0.174852,0.174852,689055367
2020-12-14,0.175201,0.178075,0.166990,0.169762,0.169762,522592210
2020-12-15,0.169788,0.176260,0.165491,0.166557,0.166557,469193894
2020-12-16,0.166502,0.191815,0.159912,0.191401,0.191401,1059791080
2020-12-17,0.191270,0.206463,0.180859,0.185935,0.185935,1664078484
2020-12-18,0.185971,0.188986,0.177644,0.185127,0.185127,822786727
2020-12-19,0.185072,0.187856,0.180467,0.181837,0.181837,483210984
2020-12-20,0.181832,0.181987,0.175738,0.176979,0.176979,459139596
2020-12-21,0.176974,0.179914,0.161052,0.166357,0.166357,509445346
2020-12-22,0.166178,0.169725,0.154086,0.162185,0.162185,661299925
2020-12-23,0.162213,0.162241,0.113173,0.126471,0.126471,1192456990
2020-12-24,0.126820,0.165288,0.125073,0.159620,0.159620,1571608569
2020-12-25,0.159195,0.166570,0.148837,0.152587,0.152587,864019522
2020-12-26,0.152519,0.155128,0.144831,0.147047,0.147047,532755621
2020-12-27,0.147044,0.154930,0.135361,0.144973,0.144973,758476186
2020-12-28,0.145099,0.154212,0.142134,0.144375,0.144375,578664860
2020-12-29,0.144359,0.148768,0.129052,0.138815,0.138815,762785956
2020-12-30,0.138760,0.139266,0.129891,0.131913,0.131913,555793351
2020-12-31,0.131989,0.132160,0.124408,0.128370,0.128370,484196978
2021-01-01,0.128321,0.139801,0.127367,0.132408,0.132408,493194345
2021-01-02,0.132471,0.134618,0.127561,0.127820,0.127820,463295709
2021-01-03,0.127847,0.138974,0.124531,0.136423,0.136423,694141229
2021-01-04,0.136644,0.165951,0.130889,0.165180,0.165180,1650893150
2021-01-05,0.165094,0.209966,0.151998,0.194823,0.194823,2558465429
2021-01-06,0.194671,0.383481,0.194237,0.340793,0.340793,10408578427
2021-01-07,0.343158,0.402339,0.297414,0.315797,0.315797,6253336842
2021-01-08,0.315623,0.330490,0.269229,0.302836,0.302836,3650270362
2021-01-09,0.302710,0.330180,0.286515,0.311935,0.311935,2262748352
2021-01-10,0.312166,0.326392,0.267365,0.288749,0.288749,1949483668
2021-01-11,0.288331,0.288331,0.214559,0.272238,0.272238,2510439297
2021-01-12,0.272099,0.310917,0.256877,0.281743,0.281743,2951493960
2021-01-13,0.281518,0.307950,0.277566,0.304022,0.304022,1932760186
